# LMSYS Chatbot Arena Elo Scores
# Data compiled 29 July 2026 by Dr Yuqian Zhang
# Source: LMSYS Chatbot Arena (lmarena.ai), quarterly snapshots
# Notes: Elo scores are approximate quarterly means. Decimal year format: 2023.25 = 2023 Q2, 2023.5 = 2023 Q3, etc.
# Columns: model,year_quarter,elo_score
model,year_quarter,elo_score
GPT-3.5,2023.25,1050
GPT-3.5,2023.5,1060
GPT-3.5,2023.75,1070
GPT-3.5,2024.0,1080
GPT-4,2023.25,1180
GPT-4,2023.5,1200
GPT-4,2023.75,1210
GPT-4,2024.0,1220
GPT-4,2024.25,1225
GPT-4,2024.5,1230
Claude 3 Opus,2024.25,1240
Claude 3 Opus,2024.5,1255
Claude 3 Opus,2024.75,1260
Claude 3 Opus,2025.0,1265
Claude 3.5 Sonnet,2024.5,1270
Claude 3.5 Sonnet,2024.75,1285
Claude 3.5 Sonnet,2025.0,1290
Claude 3.5 Sonnet,2025.25,1295
Gemini 2.0,2025.0,1320
Gemini 2.0,2025.25,1340
Gemini 2.0,2025.5,1355
GPT-5,2025.25,1420
GPT-5,2025.5,1440
GPT-5,2025.75,1460
GPT-5,2026.0,1490
GPT-5,2026.25,1537
Claude Opus 4.6,2026.0,1480
Claude Opus 4.6,2026.25,1530
Claude Opus 4.6,2026.5,1550
Gemini 3.1 Pro,2025.75,1380
Gemini 3.1 Pro,2026.0,1420
Gemini 3.1 Pro,2026.25,1470
Gemini 3.1 Pro,2026.5,1520
