# Timeline of major generative AI milestones, 2016-2026
# Variables: date (ISO), milestone (short description), category, source
# Compiled by Dr Yuqian Zhang from public announcements by OpenAI, Google,
# Microsoft, DeepMind, Stability AI, GitHub, DeepSeek, the European Union,
# the Nobel Foundation, and published academic papers. All dates are the
# public release or announcement dates.
date,milestone,category,source
2016-03-15,AlphaGo defeats Lee Sedol at Go,Model milestone,DeepMind (2016)
2017-06-12,Transformer architecture paper published,Research,Vaswani et al. (2017)
2018-06-11,OpenAI releases GPT-1,Model milestone,Radford et al. (2018)
2018-10-11,Google releases BERT,Model milestone,Devlin et al. (2018)
2019-02-14,OpenAI releases GPT-2,Model milestone,OpenAI (2019)
2020-06-11,OpenAI releases GPT-3,Model milestone,Brown et al. (2020)
2021-01-05,OpenAI releases DALL-E,Model milestone,OpenAI (2021)
2022-06-21,GitHub Copilot becomes generally available,Consumer product,GitHub (2022)
2022-08-22,Stable Diffusion released,Consumer product,Stability AI (2022)
2022-11-30,ChatGPT launches,Inflection point,OpenAI (2022)
2023-02-07,Microsoft launches AI-powered Bing,Consumer product,Microsoft (2023)
2023-03-14,OpenAI releases GPT-4,Model milestone,OpenAI (2023)
2023-03-21,Google releases Bard,Consumer product,Google (2023)
2023-11-06,ChatGPT reaches 100 million weekly users,Adoption,OpenAI DevDay (2023)
2023-12-08,EU institutions agree the AI Act,Regulation,European Parliament (2023)
2024-05-13,OpenAI releases GPT-4o,Model milestone,OpenAI (2024)
2024-08-01,EU AI Act enters into force,Regulation,European Commission (2024)
2024-08-29,ChatGPT reaches 200 million weekly users,Adoption,OpenAI (2024)
2024-10-08,Nobel prizes recognise AI research,Society,Nobel Foundation (2024)
2025-01-20,DeepSeek releases R1,Model milestone,DeepSeek (2025)
2025-02-20,ChatGPT reaches 400 million weekly users,Adoption,OpenAI (2025)
2025-03-31,ChatGPT reaches 500 million weekly users,Adoption,OpenAI (2025)
2025-08-04,ChatGPT on track for 700 million weekly users,Adoption,OpenAI (2025)
2025-10-07,ChatGPT reaches 800 million weekly users,Adoption,OpenAI (2025)
2026-08-02,EU AI Act general obligations apply,Regulation,European Commission (2026)
