# AI Regulation Timeline
# Data compiled 29 July 2026 by Dr Yuqian Zhang
# Sources: European Commission, White House, NIST, Council of Europe, Chinese government announcements
# Columns: date,event,jurisdiction
date,event,jurisdiction
2021-04,EU AI Act Proposed,EU
2022-09,US AI Bill of Rights Blueprint,US
2023-01,NIST AI RMF 1.0 Released,US
2023-08,China GenAI Regulations Effective,China
2023-10,US Executive Order 14110,US
2024-03,OMB M-24-10 AI Governance,US
2024-05,EU AI Act Adopted,EU
2024-08,EU AI Act in Force,EU
2024-09,Council of Europe AI Treaty,International
2025-02,EU Prohibitions Enforceable,EU
2025-08,EU GPAI Rules Applicable,EU
2026-08,EU AI Act Full Application,EU
